facility_id,accounting_month,snapshot_date,snapshot_day,service_line_group,generic_payer_group,encounter_class_group,month_to_date_encounters,month_to_date_discharges,month_to_date_average_daily_census,month_to_date_occupancy_rate,month_to_date_case_mix_index,month_to_date_length_of_stay,month_to_date_observation_rate,month_to_date_surgeries_inpatient,month_to_date_surgeries_outpatient,month_to_date_cath_lab_procedures,month_to_date_imaging_procedures,month_to_date_inpatient_volume,month_to_date_outpatient_volume,month_to_date_gross_charges,month_to_date_gross_charges_inpatient,month_to_date_gross_charges_outpatient,month_to_date_payments,month_to_date_denials,month_to_date_contractual_adjustments,month_to_date_bad_debt,month_to_date_charity_care,days_elapsed,business_days_elapsed,remaining_days,prior_month_net_revenue,prior_year_same_month_net_revenue,rolling_3_month_net_revenue,rolling_6_month_net_revenue,rolling_12_month_net_revenue,historical_collection_rate,historical_denial_rate,historical_adjustment_rate,historical_payer_mix,historical_charge_lag_rate,month,quarter,month_sin,month_cos,actual_month_end_net_revenue
FACILITY_1,2023-01,2023-01-07,7,acute_inpatient,commercial,inpatient,321.09,63.43,239.3,0.6556,1.2025,4.986,0.1702,21.75,16.78,12.67,178.65,181.23,139.86,3033365.05,1712109.26,1321255.79,206020.32,142420.23,1704976.54,63304.91,43788.95,7.0,5.0,24.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-10,10,acute_inpatient,commercial,inpatient,445.79,88.07,249.6,0.6838,1.2025,5.076,0.1652,30.19,23.3,18.11,243.99,251.62,194.18,4211477.47,2377066.21,1834411.26,687790.59,204909.01,2388778.31,85538.72,65394.28,10.0,7.0,21.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,-1000.0
FAC-001,2023-01,2023-01-12,99,acute_inpatient,commercial,inpatient,527.21,104.15,251.56,0.6892,1.2025,5.623,0.1777,35.71,27.56,19.25,303.41,297.57,229.64,4980595.0,2811175.93,2169419.07,1100070.1,255373.01,2756947.83,92010.94,66398.22,12.0,9.0,19.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-15,15,acute_inpatient,commercial,inpatient,647.35,127.88,248.82,0.6817,1.2025,4.91,0.1701,43.85,33.84,26.09,382.24,365.38,281.97,6115591.1,3451796.92,2663794.18,1569253.41,274559.57,3270880.37,125537.4,92215.16,15.0,10.0,16.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-18,18,acute_inpatient,commercial,inpatient,765.57,151.24,252.05,0.6906,1.2025,4.205,0.1906,51.85,40.02,28.27,439.25,432.11,333.46,7232445.78,4082178.43,3150267.35,1910242.72,339717.12,3970419.77,148930.44,104451.91,18.0,13.0,13.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-21,21,acute_inpatient,commercial,inpatient,882.22,174.28,262.57,0.7194,1.2025,5.331,0.1849,59.75,46.11,36.06,527.53,497.95,384.27,8334436.32,4704170.24,3630266.08,2571852.86,394955.92,4351959.62,161113.72,141269.25,21.0,15.0,10.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-24,24,acute_inpatient,commercial,inpatient,997.54,197.06,240.77,0.6597,1.2025,5.526,0.1808,67.56,52.14,39.52,580.78,563.04,434.5,9423859.97,5319068.97,4104791.0,3171724.09,466500.62,5076235.18,189731.44,131499.26,24.0,17.0,7.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-27,27,acute_inpatient,commercial,inpatient,1111.71,219.62,245.71,0.6732,1.2025,4.487,0.1883,75.3,58.11,45.89,590.07,627.48,484.23,10502414.26,5927832.75,4574581.51,3750540.75,544669.22,5892474.01,177027.85,156481.46,27.0,20.0,4.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-02,2023-02-07,7,acute_inpatient,commercial,inpatient,352.61,69.66,254.15,0.6963,1.2025,5.606,0.1489,23.88,18.43,14.32,194.63,199.02,153.59,3470723.04,1958965.36,1511757.68,334778.17,165248.42,1799907.95,64755.78,53685.19,7.0,5.0,21.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-10,10,acute_inpatient,commercial,inpatient,489.56,96.71,260.65,0.7141,1.2025,4.29,0.1765,33.16,25.59,20.41,261.57,276.32,213.24,4818698.59,2719797.43,2098901.16,926650.32,247562.8,2410002.73,90677.27,76551.58,10.0,8.0,18.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
