facility_id,accounting_month,snapshot_date,snapshot_day,service_line_group,generic_payer_group,encounter_class_group,month_to_date_encounters,month_to_date_discharges,month_to_date_average_daily_census,month_to_date_occupancy_rate,month_to_date_case_mix_index,month_to_date_length_of_stay,month_to_date_observation_rate,month_to_date_surgeries_inpatient,month_to_date_surgeries_outpatient,month_to_date_cath_lab_procedures,month_to_date_imaging_procedures,month_to_date_inpatient_volume,month_to_date_outpatient_volume,month_to_date_gross_charges,month_to_date_gross_charges_inpatient,month_to_date_gross_charges_outpatient,month_to_date_payments,month_to_date_denials,month_to_date_contractual_adjustments,month_to_date_bad_debt,month_to_date_charity_care,days_elapsed,business_days_elapsed,remaining_days,prior_month_net_revenue,prior_year_same_month_net_revenue,rolling_3_month_net_revenue,rolling_6_month_net_revenue,rolling_12_month_net_revenue,historical_collection_rate,historical_denial_rate,historical_adjustment_rate,historical_payer_mix,historical_charge_lag_rate,month,quarter,month_sin,month_cos,actual_month_end_net_revenue
FAC-001,2023-01,2023-01-07,7,acute_inpatient,commercial,inpatient,321.09,63.43,239.3,0.6556,1.2025,4.986,0.1702,21.75,16.78,12.67,178.65,181.23,139.86,3033365.05,1712109.26,1321255.79,206020.32,142420.23,1704976.54,63304.91,43788.95,7.0,5.0,24.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-10,10,acute_inpatient,commercial,inpatient,445.79,88.07,249.6,0.6838,1.2025,5.076,0.1652,30.19,23.3,18.11,243.99,251.62,194.18,4211477.47,2377066.21,1834411.26,687790.59,204909.01,2388778.31,85538.72,65394.28,10.0,7.0,21.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-12,12,acute_inpatient,commercial,inpatient,527.21,104.15,251.56,0.6892,1.2025,5.623,0.1777,35.71,27.56,19.25,303.41,297.57,229.64,4980595.0,2811175.93,2169419.07,1100070.1,255373.01,2756947.83,92010.94,66398.22,12.0,9.0,19.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-15,15,acute_inpatient,commercial,inpatient,647.35,127.88,248.82,0.6817,1.2025,4.91,0.1701,43.85,33.84,26.09,382.24,365.38,281.97,6115591.1,3451796.92,2663794.18,1569253.41,274559.57,3270880.37,125537.4,92215.16,15.0,10.0,16.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-18,18,acute_inpatient,commercial,inpatient,765.57,151.24,252.05,0.6906,1.2025,4.205,0.1906,51.85,40.02,28.27,439.25,432.11,333.46,7232445.78,4082178.43,3150267.35,1910242.72,339717.12,3970419.77,148930.44,104451.91,18.0,13.0,13.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-21,21,acute_inpatient,commercial,inpatient,882.22,174.28,262.57,0.7194,1.2025,5.331,0.1849,59.75,46.11,36.06,527.53,497.95,384.27,8334436.32,4704170.24,3630266.08,2571852.86,394955.92,4351959.62,161113.72,141269.25,21.0,15.0,10.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-24,24,acute_inpatient,commercial,inpatient,997.54,197.06,240.77,0.6597,1.2025,5.526,0.1808,67.56,52.14,39.52,580.78,563.04,434.5,9423859.97,5319068.97,4104791.0,3171724.09,466500.62,5076235.18,189731.44,131499.26,24.0,17.0,7.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-01,2023-01-27,27,acute_inpatient,commercial,inpatient,1111.71,219.62,245.71,0.6732,1.2025,4.487,0.1883,75.3,58.11,45.89,590.07,627.48,484.23,10502414.26,5927832.75,4574581.51,3750540.75,544669.22,5892474.01,177027.85,156481.46,27.0,20.0,4.0,,,,,,0.4534,0.0475,0.5451,0.6164,0.1466,1,1,0.0,1.0,5407404.25
FAC-001,2023-02,2023-02-07,7,acute_inpatient,commercial,inpatient,352.61,69.66,254.15,0.6963,1.2025,5.606,0.1489,23.88,18.43,14.32,194.63,199.02,153.59,3470723.04,1958965.36,1511757.68,334778.17,165248.42,1799907.95,64755.78,53685.19,7.0,5.0,21.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-10,10,acute_inpatient,commercial,inpatient,489.56,96.71,260.65,0.7141,1.2025,4.29,0.1765,33.16,25.59,20.41,261.57,276.32,213.24,4818698.59,2719797.43,2098901.16,926650.32,247562.8,2410002.73,90677.27,76551.58,10.0,8.0,18.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-12,12,acute_inpatient,commercial,inpatient,578.96,114.37,248.49,0.6808,1.2025,4.635,0.1711,39.21,30.26,23.6,334.35,326.78,252.18,5698709.36,3216498.15,2482211.21,1338183.16,285355.09,3135443.4,116645.75,87791.55,12.0,8.0,16.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-15,15,acute_inpatient,commercial,inpatient,710.9,140.44,255.92,0.7011,1.2025,5.148,0.1728,48.15,37.16,30.33,407.74,401.25,309.65,6997351.98,3949485.44,3047866.53,1842713.84,330534.46,4040464.0,,96329.92,15.0,11.0,13.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-18,18,acute_inpatient,commercial,inpatient,840.72,166.08,246.17,0.6744,1.2025,5.822,0.1738,56.94,43.94,35.83,425.35,474.53,366.2,8275237.49,4670756.9,3604480.59,2572573.52,404254.96,4931039.39,162109.23,99259.13,18.0,13.0,10.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-21,21,acute_inpatient,commercial,inpatient,968.82,191.39,239.02,0.6548,1.2025,5.183,0.1487,65.62,50.64,38.86,520.28,546.83,421.99,9536115.73,5382429.01,4153686.72,3005133.62,416999.23,5033241.46,199107.17,150539.81,21.0,15.0,7.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-24,24,acute_inpatient,commercial,inpatient,1095.46,216.41,244.32,0.6694,1.2025,5.305,0.1708,74.2,57.26,44.25,627.22,618.31,477.15,10782615.13,6085985.33,4696629.8,3792935.51,530531.92,5910369.96,232044.75,165446.47,24.0,18.0,4.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-02,2023-02-27,27,acute_inpatient,commercial,inpatient,1220.84,241.17,239.89,0.6572,1.2025,4.092,0.1573,82.69,63.81,43.14,648.69,689.07,531.76,12016678.02,6782522.17,5234155.85,4313742.74,586087.65,6480929.26,237508.63,195202.27,27.0,19.0,1.0,5407404.252833765,,5407404.252833765,5407404.252833765,5407404.252833765,0.4534,0.0475,0.5451,0.6164,0.1466,2,1,0.5,0.866025,5633998.78
FAC-001,2023-03,2023-03-07,7,acute_inpatient,commercial,inpatient,321.09,63.43,259.73,0.7116,1.2025,5.017,0.1736,21.75,16.78,12.31,171.35,181.23,139.86,3358390.59,1895562.03,1462828.56,240339.11,157364.45,1845224.99,74483.85,57064.19,7.0,5.0,24.0,5633998.782961554,,5520701.51789766,5520701.51789766,5520701.51789766,0.4534,0.0475,0.5451,0.6164,0.1466,3,1,0.866025,0.5,5986808.46
FAC-001,2023-03,2023-03-10,10,acute_inpatient,commercial,inpatient,445.79,88.07,252.54,0.6919,1.2025,4.386,0.1619,30.19,23.3,18.26,243.58,251.62,194.18,4662737.94,2631769.23,2030968.71,739993.31,211797.19,2505372.67,100748.57,81976.32,10.0,8.0,21.0,5633998.782961554,,5520701.51789766,5520701.51789766,5520701.51789766,0.4534,0.0475,0.5451,0.6164,0.1466,3,1,0.866025,0.5,5986808.46
FAC-001,2023-03,2023-03-12,12,acute_inpatient,commercial,inpatient,527.21,104.15,252.8,0.6926,1.2025,4.736,0.1707,35.71,27.56,21.43,295.21,297.57,229.64,5514266.53,3112393.87,2401872.66,1083035.37,274282.26,2933217.26,104397.19,73865.65,12.0,8.0,19.0,5633998.782961554,,5520701.51789766,5520701.51789766,5520701.51789766,0.4534,0.0475,0.5451,0.6164,0.1466,3,1,0.866025,0.5,5986808.46
FAC-001,2023-03,2023-03-15,15,acute_inpatient,commercial,inpatient,647.35,127.88,252.47,0.6917,1.2025,5.587,0.1713,43.85,33.84,26.35,390.77,365.38,281.97,6770877.64,3821657.5,2949220.14,1781942.13,316331.91,3472929.51,149869.62,98196.47,15.0,11.0,16.0,5633998.782961554,,5520701.51789766,5520701.51789766,5520701.51789766,0.4534,0.0475,0.5451,0.6164,0.1466,3,1,0.866025,0.5,5986808.46
FAC-001,2023-03,2023-03-18,18,acute_inpatient,commercial,inpatient,765.57,151.24,249.4,0.6833,1.2025,5.211,0.1759,51.85,40.02,29.35,387.6,432.11,333.46,8007403.47,4519584.49,3487818.99,2434132.93,381945.83,4393001.06,177383.85,109953.73,18.0,13.0,13.0,5633998.782961554,,5520701.51789766,5520701.51789766,5520701.51789766,0.4534,0.0475,0.5451,0.6164,0.1466,3,1,0.866025,0.5,5986808.46
